Region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ENWL,9665,9835,10350,10931,11282,11546,11839,12240,12691,13139,13688,13911,14364,14506,14714,15179,15601,15959,16764,16823,17290,17981,18440,18608
NPG (Northern Electric),9616,9794,10160,10699,11118,11387,11664,12103,12459,12993,13413,13693,14259,14453,14681,15297,15615,15943,16657,16742,17135,17770,18178,18257
NPG (Yorkshire Electric),9409,9625,10117,10706,10992,11262,11585,11970,12294,12674,13247,13414,13713,13817,14103,14509,14903,15279,15992,16017,16465,17157,17529,17659
SPEN (SP Distribution),9629,9881,10339,11058,11511,11964,12344,12850,13296,13865,14600,15083,15231,15449,15750,16224,16695,17042,17682,17869,18254,18855,19287,19406
SPEN (SP MANWEB),9919,10065,10561,11137,11439,11851,12288,12774,13202,13617,14162,14496,14918,15079,15308,15851,16310,16690,17494,17525,18019,18748,19116,19234
SSE,10006,10208,10384,11111,11676,12066,12300,13005,13580,14433,15270,16216,16462,16715,17219,17824,18563,18892,19380,19052,19341,20021,20567,20479
SSE (Southern),12618,12893,13370,14238,14642,14988,15248,15748,16352,17103,17965,18373,18570,18684,18977,19746,20553,21085,22419,22561,23070,24124,24751,24545
UKPN (East),11572,11828,12367,13183,13731,14093,14387,14857,15495,16037,16852,17376,17664,17837,18009,18815,19469,20041,21360,21655,22171,23223,23683,23563
UKPN (London),13452,13928,14896,16206,16664,16799,17359,18408,19736,20978,22737,23549,23490,23433,23164,24628,26185,27239,29085,29508,29937,31663,32158,31770
UKPN (South),12954,13221,13769,14622,15073,15442,15721,16334,17076,17764,18674,19023,19221,19412,19634,20450,21260,21725,23075,23327,23743,24873,25369,25179
WPD (East Midlands),10094,10298,10757,11333,11748,12055,12418,12863,13239,13698,14469,14695,14915,14978,15279,15791,16254,16708,17625,17686,18122,18791,19198,19269
WPD (Midlands),10012,10325,10725,11271,11628,11872,12105,12503,12854,13374,13772,14138,14409,14592,14828,15259,15784,16311,17204,17372,17607,18363,18746,18774
WPD (South Wales),9311,9369,9826,10500,10893,11207,11585,11987,12312,12754,13192,13725,13707,13906,14150,14612,14834,15202,15726,15753,16242,17016,17314,17502
WPD (South West),10669,10899,11256,11731,12145,12396,12670,13098,13591,14313,14898,15438,15605,15969,16264,16660,17155,17623,18471,18647,19135,19957,20469,20337
